concept_name,cancer_type
Primary malignant neoplasm of exocervix,cervical
Reticulosarcoma of intrathoracic lymph nodes,lymphoma/lymphoid
Malignant lymphoma of spleen,lymphoma/lymphoid
"Follicular non-Hodgkin's lymphoma, large cell (clinical)",lymphoma/lymphoid
Primary malignant neoplasm of tongue,head and neck
"Malignant neoplasm of rectum, rectosigmoid junction and anus",colon/rectal
Primary malignant neoplasm of floor of mouth,head and neck
Malignant lymphoma of extranodal AND/OR solid organ site,lymphoma/lymphoid
Primary malignant neoplasm of gastrointestinal tract,unknown
Primary malignant neoplasm of pharynx,head and neck
Primary squamous cell carcinoma of skin of left upper limb,skin
Malignant neoplasm of lower respiratory tract,lung/respiratory tract/pleura
"Malignant neoplasm, overlapping lesion of bladder",urinary tract/bladder
Refractory cytopenia with multilineage dysplasia and ringed sideroblasts,myelodysplastic syndromes
"Follicular non-Hodgkin's lymphoma, mixed small cleaved cell and large cell (clinical)",lymphoma/lymphoid
Primary malignant neoplasm of cardia of stomach,stomach
Primary malignant neoplasm of ampulla of Vater,small intestine
Primary malignant neoplasm of pelvis,unknown
Primary malignant neoplasm of brain stem,brain
Malignant neoplasm of nipple and areola of female breast,breast
Primary malignant neoplasm of cervical esophagus,esophagus
Primary malignant neoplasm of body of stomach,stomach
"Malignant neoplasm of lip, oral cavity and pharynx",head and neck
Primary malignant neoplasm of gum,head and neck
Primary malignant neoplasm of abdomen,unknown
Malignant lymphoma of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
Myelodysplastic syndrome with isolated del(5q),myelodysplastic syndromes
Nodular lymphoma of intra-abdominal lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of soft tissues of abdomen,soft tissue sarcoma
Primary malignant neoplasm of mediastinum,unknown
Lymphosarcoma of lymph nodes of inguinal region and lower limb,lymphoma/lymphoid
Primary squamous cell carcinoma of upper limb,skin
"Hodgkin's disease, nodular sclerosis of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Primary malignant neoplasm of soft tissues of upper limb,soft tissue sarcoma
Primary malignant neoplasm of vagina,vaginal
Malignant neoplasm of skin of lower limb,skin
Malignant lymphoma of intra-abdominal lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of pancreatic duct,pancreas
Kaposi's sarcoma of soft tissue,soft tissue sarcoma
Primary malignant neoplasm of occipital lobe,brain
Primary malignant neoplasm of urinary system,urinary tract/bladder
"Overlapping malignant neoplasm of rectum, anus and anal canal",anal
Nodular lymphoma of lymph nodes of multiple sites,lymphoma/lymphoid
Squamous cell carcinoma of anal margin,skin
Primary malignant neoplasm of ureteric orifice of urinary bladder,urinary tract/bladder
Primary malignant neoplasm of supraglottis,head and neck
Primary malignant neoplasm of pyloric antrum,stomach
Primary malignant neoplasm of uvula,head and neck
Primary malignant neoplasm of lateral wall of urinary bladder,urinary tract/bladder
Reticulosarcoma of spleen,lymphoma/lymphoid
Malignant lymphoma of lymph nodes of inguinal region AND/OR lower limb,lymphoma/lymphoid
Primary malignant neoplasm of ciliary body (primary),eye/ocular
Primary malignant neoplasm of orbit,eye/ocular
Primary malignant neoplasm of intra-abdominal organs,unknown
Malignant neoplasm of peripheral nerve of thorax,soft tissue sarcoma
"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites",lymphoma/lymphoid
"Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical)",lymphoma/lymphoid
Primary malignant neoplasm of hepatic flexure of colon,colon/rectal
"Mesothelioma (malignant, clinical disorder)",mesothelioma
"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes",lymphoma/lymphoid
Primary malignant neoplasm of optic nerve,eye/ocular
Nodular lymphoma of intrathoracic lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of trachea,lung/respiratory tract/pleura
Primary malignant neoplasm of upper third of esophagus,esophagus
"Hodgkin's granuloma of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
"Extranodal NK/T-cell lymphoma, nasal type",lymphoma/lymphoid
Primary malignant neoplasm of central nervous system,brain
Primary malignant neoplasm of soft palate,head and neck
"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)",lymphoma/lymphoid
Primary malignant neoplasm of pelvic bone,bone
Squamous cell carcinoma of skin of lower lip,skin
Primary malignant neoplasm of anterior mediastinum,unknown
Primary malignant neoplasm of posterior wall of nasopharynx,nasopharyngeal
Hodgkin's disease of lymph nodes of multiple sites,lymphoma/lymphoid
Refractory anemia with ringed sideroblasts (clinical),myelodysplastic syndromes
Primary malignant neoplasm of subglottis,head and neck
Primary malignant neoplasm of lingual tonsil,head and neck
Malignant melanoma of lip,skin
